peso,potencia,velocidade_max,tipo_cambio,tipo_pneu,tipo_motor,sobrealimentacao,carroceria,tracao,pista,titulos_armageddon,vitorias_lista_estado,tempo_armageddon_s
1249.448142616835,2867.121567292329,298.60242227893514,Sequencial,Hoosier,V6,Aspirado,Metal,4x4,Pista Tratada,3,43,4.343498092517459
1649.7285925381143,1982.9207572618536,272.515100770843,Sapinho,Pro-Front,5C,Aspirado,Fibra de Carbono,Dianteira,Pista Tratada,3,41,5.656233620066065
1426.6338206476332,1944.2331618408439,276.35496521028347,Sapinho,Pro-Front,AP,Single Turbo,Fibra de Carbono,Dianteira,Pista Tratada,9,43,5.612457752561115
1518.390181036444,1274.6738027833412,263.86158035267295,Liberty,Pro-Front,AP,Aspirado,Metal,4x4,No Prep,9,14,6.633333161395303
888.5001316778315,1127.1255306040491,274.10513527516395,Sapinho,Mickey Thompson,AP,Aspirado,Fibra de Vidro,Dianteira,Pista Tratada,1,37,5.793401575457487
987.1934244034431,2668.4244112153747,308.35060771182145,Sapinho,Hoosier,AP,Single Turbo,Metal,4x4,No Prep,8,18,4.388696672952352
869.7003346018394,2189.6796699937877,303.92687629866566,Sequencial,Hoosier,L6,Single Turbo,Metal,Dianteira,No Prep,9,30,4.436643110085329
1655.4702374369301,1584.2316264408423,266.6661500553452,Sequencial,Hoosier,V8,Supercharger,Fibra de Vidro,4x4,No Prep,7,25,5.9740168329117225
1521.3380140918507,1302.6460565195596,264.26169537304247,Sequencial,Pro-Front,AP,Aspirado,Metal,Traseira,Pista Tratada,7,4,6.1945355915397355
1649.6870933552545,2066.544288356226,273.72597091033924,Liberty,Mickey Thompson,V8,Supercharger,Metal,Traseira,No Prep,4,19,5.397259922000517
824.701393154963,2126.2305074483843,305.3698204621928,Sapinho,Hoosier,V6,Single Turbo,Metal,Traseira,No Prep,2,1,5.274767624287288
1767.5026403349539,1334.6865626146223,261.84752157315614,Liberty,Hoosier,5C,Bi-Turbo,Fibra de Vidro,Dianteira,No Prep,5,20,6.673322853005723
1529.0914936164302,2687.952070572095,285.7864201181869,Sapinho,Mickey Thompson,V6,Bi-Turbo,Fibra de Carbono,4x4,Pista Tratada,8,35,4.806929315703805
896.5858928918416,1076.9551689272873,272.4961354198044,Sapinho,Pro-Front,AP,Aspirado,Fibra de Carbono,4x4,Pista Tratada,7,27,6.271996456274742
916.3709645836688,1647.7954788494856,286.74850984066023,Sapinho,Pro-Front,V6,Aspirado,Fibra de Vidro,Traseira,Pista Tratada,6,19,5.61070359723146
867.0726000505025,2328.8072689012965,307.93965820625,Sequencial,Hoosier,L6,Single Turbo,Fibra de Carbono,Traseira,Pista Tratada,7,36,4.551189442917416
1165.0906915514452,1475.6527640203215,274.05703309450246,Liberty,Hoosier,V8,Supercharger,Metal,Traseira,No Prep,3,38,5.67525970052073
1215.2515602648825,2638.117909040671,295.6452577523435,Liberty,Mickey Thompson,AP,Single Turbo,Fibra de Carbono,4x4,Pista Tratada,5,35,4.797421125925828
1318.334022370539,2453.7224358608473,288.2538277458891,Sapinho,Hoosier,L6,Aspirado,Metal,Traseira,No Prep,4,10,5.2348570962455705
977.0537230020027,2556.9479735510818,306.296486594596,Liberty,Mickey Thompson,V8,Supercharger,Fibra de Carbono,Dianteira,Pista Tratada,1,2,4.655387480627776
1380.80112630017,1150.123725341104,263.70519054201,Sequencial,Hoosier,L6,Aspirado,Fibra de Vidro,Traseira,No Prep,7,36,6.442753396113611
822.2837378650826,1195.14896879064,278.5188177501523,Liberty,Hoosier,V6,Bi-Turbo,Fibra de Carbono,Traseira,Pista Tratada,2,19,5.531892027492699
977.9875415059224,1501.5948492636257,280.4750353949698,Sapinho,Hoosier,AP,Single Turbo,Fibra de Carbono,4x4,Pista Tratada,4,31,5.788208054010942
